student;vak;activiteit;zaal;dag;tijdslot
Budel Allan;Project Genetic Algorithms Practica 1;Practica;A1.04;ma;15-17
Budel Allan;Heuristieken 2 Hoorcollege 1;Hoorcollege;C1.112;wo;13-15
Budel Allan;Calculus 2 Werkcollege 3;Werkcollege;A1.06;do;11-13
Budel Allan;Heuristieken 2 Werkcollege 1;Werkcollege;A1.04;wo;11-13
Budel Allan;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
Hartevelt Ervin;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;do;11-13
Hartevelt Ervin;Reflectie op de digitale cultuur Werkcollege 3;Werkcollege;A1.06;ma;9-11
Hartevelt Ervin;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;B0.201;di;11-13
van Hall Ouidad;Netwerken en systeembeveiliging Practica 2;Practica;B0.201;wo;15-17
van Hall Ouidad;Machine Learning Hoorcollege 2;Hoorcollege;C1.112;di;9-11
van Hall Ouidad;Software engineering Practica 1;Practica;A1.08;do;15-17
van Hall Ouidad;Software engineering Hoorcollege 1;Hoorcollege;A1.06;ma;15-17
van Hall Ouidad;Software engineering Werkcollege 2;Werkcollege;A1.10;wo;15-17
van Hall Ouidad;Data Mining Hoorcollege 2;Hoorcollege;C0.110;do;9-11
van Hall Ouidad;Machine Learning Hoorcollege 1;Hoorcollege;B0.201;wo;11-13
van Hall Ouidad;Data Mining Werkcollege 2;Werkcollege;A1.10;do;9-11
van Hall Ouidad;Programmeren in Java 2 Practica 5;Practica;B0.201;di;15-17
van Hall Ouidad;Data Mining Hoorcollege 1;Hoorcollege;A1.10;do;13-15
van Hall Ouidad;Data Mining Practica 2;Practica;C1.112;wo;9-11
Buining Wytske;Databases 2 Hoorcollege 1;Hoorcollege;A1.10;vr;11-13
Buining Wytske;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
Buining Wytske;Databases 2 Werkcollege 2;Werkcollege;A1.08;wo;13-15
Buining Wytske;Compilerbouw Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
Buining Wytske;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;do;11-13
