student;vak;activiteit;zaal;dag;tijdslot
de Leest Janniek;Algoritmen en complexiteit Lecture 1;Lecture;A1.10;wo;11-13
de Leest Janniek;Algoritmen en complexiteit Tutorial 1;Tutorial;B0.201;wo;9-11
de Leest Janniek;Algoritmen en complexiteit Lab 2;Lab;A1.10;do;11-13
de Leest Janniek;Programmeren in Java 2 Lab 6;Lab;A1.10;di;11-13
Abbing Yanick;Analysemethoden en -technieken Lecture 1;Lecture;A1.10;do;15-17
Abbing Yanick;Data Mining Lecture 1;Lecture;B0.201;do;15-17
Abbing Yanick;Data Mining Lecture 2;Lecture;A1.04;do;13-15
Abbing Yanick;Data Mining Tutorial 2;Tutorial;C1.112;do;11-13
Abbing Yanick;Data Mining Lab 2;Lab;A1.10;do;9-11
Abbing Yanick;Lineaire Algebra Lecture 1;Lecture;A1.10;vr;11-13
Abbing Yanick;Lineaire Algebra Lecture 2;Lecture;A1.10;vr;9-11
Abbing Yanick;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Abbing Yanick;Software engineering Tutorial 2;Tutorial;A1.10;ma;13-15
Abbing Yanick;Software engineering Lab 2;Lab;B0.201;di;9-11
de Kuijer Farhad;Netwerken en systeembeveiliging Lab 4;Lab;A1.08;do;11-13
de Kuijer Farhad;Project Numerical Recipes Lab 3;Lab;A1.04;wo;15-17
Elschot Geerten;Kansrekenen 2 Lecture 1;Lecture;C0.110;do;13-15
Elschot Geerten;Kansrekenen 2 Lecture 2;Lecture;C0.110;wo;11-13
Elschot Geerten;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Elschot Geerten;Software engineering Tutorial 2;Tutorial;A1.10;ma;13-15
Elschot Geerten;Software engineering Lab 1;Lab;C1.112;wo;13-15
Haas Eylem;Databases 2 Lecture 1;Lecture;C0.110;ma;13-15
Haas Eylem;Databases 2 Tutorial 2;Tutorial;A1.10;ma;15-17
Haas Eylem;Informatie- en organisatieontwerp Lecture 1;Lecture;A1.06;wo;13-15
Haas Eylem;Informatie- en organisatieontwerp Lecture 2;Lecture;A1.06;do;11-13
Haas Eylem;Informatie- en organisatieontwerp Tutorial 1;Tutorial;A1.08;vr;9-11
Haas Eylem;Informatie- en organisatieontwerp Lab 1;Lab;A1.04;do;9-11
Haas Eylem;Kansrekenen 2 Lecture 1;Lecture;C0.110;do;13-15
Haas Eylem;Kansrekenen 2 Lecture 2;Lecture;C0.110;wo;11-13
Haas Eylem;Moderne Databases Lecture 1;Lecture;C1.112;wo;9-11
Haas Eylem;Moderne Databases Tutorial 1;Tutorial;C1.112;vr;11-13
Haas Eylem;Moderne Databases Lab 3;Lab;C0.110;ma;11-13
Haas Eylem;Programmeren in Java 2 Lab 1;Lab;B0.201;di;15-17
Haalboom Faruk;Databases 2 Lecture 1;Lecture;C0.110;ma;13-15
Haalboom Faruk;Databases 2 Tutorial 1;Tutorial;C1.112;vr;15-17
Eisinga Mattie;Heuristieken 1 Lecture 1;Lecture;C0.110;wo;9-11
Eisinga Mattie;Heuristieken 1 Tutorial 1;Tutorial;B0.201;vr;13-15
Eisinga Mattie;Kansrekenen 2 Lecture 1;Lecture;C0.110;do;13-15
Eisinga Mattie;Kansrekenen 2 Lecture 2;Lecture;C0.110;wo;11-13
Eisinga Mattie;Netwerken en systeembeveiliging Lab 2;Lab;B0.201;di;11-13
de Zoete Linne;Kansrekenen 2 Lecture 1;Lecture;C0.110;do;13-15
de Zoete Linne;Kansrekenen 2 Lecture 2;Lecture;C0.110;wo;11-13
Florijn Belle;Heuristieken 1 Lecture 1;Lecture;C0.110;wo;9-11
Florijn Belle;Heuristieken 1 Tutorial 1;Tutorial;B0.201;vr;13-15
Florijn Belle;Project Numerical Recipes Lab 1;Lab;C1.112;do;9-11
de Vreeze Marije;Collectieve Intelligentie Lecture 1;Lecture;C0.110;di;15-17
de Vreeze Marije;Collectieve Intelligentie Lecture 2;Lecture;C0.110;di;17-19
de Vreeze Marije;Collectieve Intelligentie Lecture 3;Lecture;C1.112;do;13-15
de Vreeze Marije;Collectieve Intelligentie Tutorial 2;Tutorial;A1.06;ma;15-17
de Vreeze Marije;Collectieve Intelligentie Lab 3;Lab;A1.04;di;13-15
de Vreeze Marije;Programmeren in Java 2 Lab 6;Lab;A1.10;di;11-13
Grooteman nal;Heuristieken 2 Lecture 1;Lecture;C1.112;ma;11-13
Grooteman nal;Heuristieken 2 Tutorial 2;Tutorial;A1.06;ma;9-11
Grooteman nal;Technology for games Lecture 1;Lecture;B0.201;wo;11-13
Grooteman nal;Technology for games Lecture 2;Lecture;B0.201;ma;11-13
Grooteman nal;Technology for games Tutorial 1;Tutorial;A1.06;wo;9-11
Dumoulin Rintje;Analysemethoden en -technieken Lecture 1;Lecture;A1.10;do;15-17
Fleming Antonius;Compilerbouw Lecture 1;Lecture;C0.110;vr;17-19
Fleming Antonius;Compilerbouw Lecture 2;Lecture;C0.110;do;11-13
Fleming Antonius;Compilerbouw Tutorial 2;Tutorial;A1.04;vr;15-17
Fleming Antonius;Compilerbouw Lab 1;Lab;C0.110;vr;13-15
Ensink Dinah;Kansrekenen 2 Lecture 1;Lecture;C0.110;do;13-15
Ensink Dinah;Kansrekenen 2 Lecture 2;Lecture;C0.110;wo;11-13
Ensink Dinah;Programmeren in Java 2 Lab 3;Lab;B0.201;vr;9-11
Hartevelt Ervin;Reflectie op de digitale cultuur Lecture 1;Lecture;A1.10;di;13-15
Hartevelt Ervin;Reflectie op de digitale cultuur Lecture 2;Lecture;A1.10;vr;13-15
