student	vak	activiteit	zaal	dag	tijdslot
Abbing Yanick	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Abbing Yanick	Data Mining	Lecture	A1.04		
Abbing Yanick	Data Mining	Lecture	A1.04		
Abbing Yanick	Data Mining	Tutorial	A1.08	do	13-15
Abbing Yanick	Data Mining	Lab	A1.08	vr	9-11
Abbing Yanick	Lineaire Algebra	Lecture	A1.10		
Abbing Yanick	Lineaire Algebra	Lecture	A1.10		
Abbing Yanick	Software engineering	Lecture	C0.110		
Abbing Yanick	Software engineering	Tutorial	A1.04		
Abbing Yanick	Software engineering	Lab	A1.04		
Adam Roelof	Webprogrammeren en databases	Lecture	A1.04		
Adam Roelof	Webprogrammeren en databases	Lecture	A1.04		
Adam Roelof	Webprogrammeren en databases	Tutorial	A1.08	wo	13-15
Adam Roelof	Webprogrammeren en databases	Lab	A1.08	wo	15-17
Agema Willibrordus	Calculus 2	Lecture	C0.110	vr	9-11
Agema Willibrordus	Calculus 2	Tutorial	A1.04	do	13-15
Anker Servaas	Architectuur en computerorganisatie	Lecture	A1.06	di	11-13
Anker Servaas	Architectuur en computerorganisatie	Lecture	A1.06	di	13-15
Anker Servaas	Software engineering	Lecture	C0.110		
Anker Servaas	Software engineering	Tutorial	A1.04		
Anker Servaas	Software engineering	Lab	A1.04		
Ankone Wissal	Compilerbouw practicum	Lab	A1.08	wo	13-15
Ankone Wissal	Project Genetic Algorithms	Lab	A1.08	wo	11-13
Apeldoorn Herman	Advanced Heuristics	Lecture	A1.08	ma	9-11
Apeldoorn Herman	Advanced Heuristics	Lab	A1.08	ma	11-13
Apeldoorn Herman	Heuristieken 2	Lecture	A1.04	do	15-17
Apeldoorn Herman	Heuristieken 2	Tutorial	A1.08	vr	11-13
Appel Evi	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Appel Evi	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Appel Evi	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Appel Evi	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Appel Evi	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Appelhof Wilmer	Programmeren in Java 2	Lab	A1.08	di	13-15
Arendse Benjamin	Webprogrammeren en databases	Lecture	A1.04		
Arendse Benjamin	Webprogrammeren en databases	Lecture	A1.04		
Arendse Benjamin	Webprogrammeren en databases	Tutorial	A1.08	wo	13-15
Arendse Benjamin	Webprogrammeren en databases	Lab	A1.08	wo	15-17
Aslan Diny	Calculus 2	Lecture	C0.110	vr	9-11
Aslan Diny	Calculus 2	Tutorial	A1.04	do	13-15
Autar Chesney	Moderne Databases	Lecture	A1.10		
Autar Chesney	Moderne Databases	Tutorial	A1.08		
Autar Chesney	Moderne Databases	Lab	A1.08		
Avci Martin	Compilerbouw	Lecture	C0.110	ma	11-13
